"03/06/2016","-13.26","STARBUCKS #13476 NORTH CHNorth CharlesSC"
"03/06/2016","-14.96","FOOD LION #0884 PITTSBORO NC"
"03/05/2016","-156.15","SHERATON HOTEL MYRTLE BEACH SC"
"03/05/2016","-18.59","SHELL OIL 57544682107 MCCLELLANVILLSC"
"03/05/2016","-19.91","HARRYS BREAKFAST PANCAKESMYRTLE BEACH SC"
"03/05/2016","-34.73","SMOKE BBQ CHARLESTON SC"
"03/05/2016","-164.98","TWC*TIME WARNER CABLE 910-763-4638 NC"
"03/04/2016","-22.33","BREEZE THRU 139 APEX NC"
"03/04/2016","-20.27","BOB EVANS REST #0385 CARY NC"
"03/04/2016","-40.12","HARRIS TEETER #0058 APEX NC"
"03/04/2016","-35.67","HARRIS TEETER #0058 APEX NC"
"03/04/2016","-13.25","CHICK-FIL-A #02795 LUMBERTON NC"
"03/04/2016","-7.95","DICK'S CLOTHING&SPORTING APEX NC"
"03/03/2016","-21.76","BP#8276610CIRCLE K ST 27 APEX NC"
"03/01/2016","-12.92","REPUBLIC WIRELESS 800-808-5150 NC"
"03/01/2016","-33.06","CHILI'S APEX APEX NC"
"02/29/2016","-21.64","BREEZE THRU 139 APEX NC"
"02/29/2016","-22.39","FOOD LION #1480 CHAPEL HILL NC"
"02/29/2016","-5.87","STARBUCKS T1 10671550 RALEIGH NC"
"02/28/2016","-4.72","BRUEGGERS BAGELS O APEX NC"
"02/27/2016","-9.34","MOE'S SOUTHWEST GRILL DURHAM NC"
"02/24/2016","-53.84","HARRIS TEETER #0058 APEX NC"
"02/23/2016","-2.14","BP#8276610CIRCLE K ST 27 APEX NC"
"02/23/2016","-16.75","YANG CLEANERS APEX NC"
"02/22/2016","-17.83","BP#8276610CIRCLE K ST 27 APEX NC"
"02/18/2016","-21.55","EXXONMOBIL 96822796 APEX NC"
"02/16/2016","-35.30","CROSSROADS FORD QUICKLANECARY NC"
"02/14/2016","-34.57","COST CUTTERS APEX NC"
"02/13/2016","-9.64","VIRLIES GRILL PITTSBORO NC"
"02/12/2016","-11.93","LIFE TIME CAFE 160 Q54 CARY NC"
"02/06/2016","-20.97","BREEZE THRU 139 APEX NC"
"01/31/2016","-15.19","REPUBLIC WIRELESS 800-808-5150 NC"
"01/31/2016","-172.50","TWC*TIME WARNER CABLE 910-763-4638 NC"
"01/29/2016","-31.04","FOOD LION #0884 PITTSBORO NC"
"01/28/2016","-17.51","BREEZE THRU 139 APEX NC"
